Skenario,Kode Sample,Nama Produk,Engine OCR,Total Bahan Asli (GT),Total Berhasil Dikenali,Total Miss / Terlewat,Total False Positives (Noise),Daftar Bahan MISS (False Negatives),Detail Penyebab MISS,Daftar Token Salah (False Positives)
Skenario 2 (Multiple Products / Multi Brand),cleanser_panthenol,Facial Wash Scora,PADDLEOCR,32,12,20,1,COCAMIDOPROPYL BETAINE | GLYCERIN | ACRYLATES COPOLYMER | SODIUM METHYL COCOYL TAURATE | POTASSIUM COCOYL GLYCINATE | SODIUM BENZOATE | ALLANTOIN | CITRIC ACID | DISODIUM EDTA | ETHYLHEXYLGLYCERIN | MICROCRYSTALLINE CELLULOSE | SUCROSE | ZEA MAYS STARCH | TITANIUM DIOXIDE | PENTYLENE GLYCOL | BIFIDA FERMENT LYSATE | LACTOBACILLUS FERMENT LYSATE | 1 | 2-HEXANEDIOL | HYDROLYZED SODIUM HYALURONATE,COCAMIDOPROPYL BETAINE [Terpotong (Cut-off) di Bagian Atas Kemasan] || GLYCERIN [Terpotong (Cut-off) di Bagian Atas Kemasan] || ACRYLATES COPOLYMER [OCR Typo / Salah Karakter (Terbaca sebagai: 'SODIUM HYALURONATE CROSSPOLYMER')] || SODIUM METHYL COCOYL TAURATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'SODIUM HYALURONATE')] || POTASSIUM COCOYL GLYCINATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'CITRIC ACID POTASSIUM COCOATE')] || SODIUM BENZOATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'SODIUM HYALURONATE')] || ALLANTOIN [OCR Typo / Salah Karakter (Terbaca sebagai: 'MANNITOL')] || CITRIC ACID [OCR Typo / Salah Karakter (Terbaca sebagai: 'TRANEXAMIC ACID')] || DISODIUM EDTA [OCR Typo / Salah Karakter (Terbaca sebagai: 'PHENOXYETHANOL DISODIUM EDTA')] || ETHYLHEXYLGLYCERIN [Gagal terdeteksi oleh OCR / terpotong] || MICROCRYSTALLINE CELLULOSE [Gagal terdeteksi oleh OCR / terpotong] || SUCROSE [Gagal terdeteksi oleh OCR / terpotong] || ZEA MAYS STARCH [Gagal terdeteksi oleh OCR / terpotong] || TITANIUM DIOXIDE [Gagal terdeteksi oleh OCR / terpotong] || PENTYLENE GLYCOL [Gagal terdeteksi oleh OCR / terpotong] || BIFIDA FERMENT LYSATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'LACTOCOCCUS FERMENT LYSATE')] || LACTOBACILLUS FERMENT LYSATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'LACTOCOCCUS FERMENT LYSATE')] || 1 [Terpotong (Cut-off) di Bagian Bawah Kemasan] || 2-HEXANEDIOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'MANNITOL')] || HYDROLYZED SODIUM HYALURONATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'SODIUM HYALURONATE')],HYDROLYZED SOONNNNNNNE ONNARE
Skenario 2 (Multiple Products / Multi Brand),exfoliasi_skintific,Exfoliasi Skintific,PADDLEOCR,31,30,1,0,1,1 [Gagal terdeteksi oleh OCR / terpotong],
Skenario 2 (Multiple Products / Multi Brand),facial_wash_g2g,Facial Wash G2G,PADDLEOCR,36,17,19,0,AQUA | GLYCERIN | MYRISTIC ACID | POTASSIUM HYDROXIDE | STEARIC ACID | HYDROXYPROPYL METHYLCELLULOSE | MENTHOL | 1 | 2-HEXANEDIOL | BUTYLENE GLYCOL | FOMES OFFICINALIS EXTRACT | PEG-40 HYDROGENATED CASTOR OIL | HYDROXYACETOPHENONE | AROMA | METHYLPARABEN | PHENOXYETHANOL | SODIUM BENZOATE | CI 77499 | BHA,AQUA [Terpotong (Cut-off) di Bagian Atas Kemasan] || GLYCERIN [OCR Typo / Salah Karakter (Terbaca sebagai: 'GLYCERYL STEARATE')] || MYRISTIC ACID [OCR Typo / Salah Karakter (Terbaca sebagai: 'PALMITIC ACID')] || POTASSIUM HYDROXIDE [OCR Typo / Salah Karakter (Terbaca sebagai: 'SODIUM CHLORIDE')] || STEARIC ACID [OCR Typo / Salah Karakter (Terbaca sebagai: 'LAURIC ACID')] || HYDROXYPROPYL METHYLCELLULOSE [OCR Typo / Salah Karakter (Terbaca sebagai: 'DISODIUM EDTAHYDROXYPROPYLMETHYLCELLULOSE BHAREFERS TO SALICYLICACID')] || MENTHOL [Gagal terdeteksi oleh OCR / terpotong] || 1 [Gagal terdeteksi oleh OCR / terpotong] || 2-HEXANEDIOL [Gagal terdeteksi oleh OCR / terpotong] || BUTYLENE GLYCOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'LAURYL GLUCOSIDE')] || FOMES OFFICINALIS EXTRACT [OCR Typo / Salah Karakter (Terbaca sebagai: 'CENTELLA ASIATICA LEAF EXTRACT')] || PEG-40 HYDROGENATED CASTOR OIL [Gagal terdeteksi oleh OCR / terpotong] || HYDROXYACETOPHENONE [Terpotong (Cut-off) di Bagian Bawah Kemasan] || AROMA [Terpotong (Cut-off) di Bagian Bawah Kemasan] || METHYLPARABEN [OCR Typo / Salah Karakter (Terbaca sebagai: 'PROPYLPARABEN')] || PHENOXYETHANOL [Terpotong (Cut-off) di Bagian Bawah Kemasan] || SODIUM BENZOATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'SODIUM CHLORIDE')] || CI 77499 [Terpotong (Cut-off) di Bagian Bawah Kemasan] || BHA [Terpotong (Cut-off) di Bagian Bawah Kemasan],
Skenario 2 (Multiple Products / Multi Brand),facial_wash_kahf,Facial Wash Kahf,PADDLEOCR,46,21,25,0,SACCHARIDE ISOMERATE | KAOLIN | SALICYLIC ACID | FRAGRANCE | MENTHOL | ALLANTOIN | HYDROXYPROPYL METHYLCELLULOSE | ETHYLHEXYLGLYCERIN | MENTHYL LACTATE | PEG-40 HYDROGENATED CASTOR OIL | PPG-26-BUTETH-26 | SALVIA OFFICINALIS (SAGE) LEAF EXTRACT | CITRIC ACID | SODIUM CITRATE | SODIUM BENZOATE | TRIDECETH-9 | LAURETH-21 | 1 | 2-HEXANEDIOL | AMINOMETHYL PROPANEDIOL | SODIUM DEHYDROACETATE | CI 77891 | CI 19140 | CI 77266 | CI 42090,SACCHARIDE ISOMERATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'POTASSIUM SORBATE')] || KAOLIN [Gagal terdeteksi oleh OCR / terpotong] || SALICYLIC ACID [OCR Typo / Salah Karakter (Terbaca sebagai: 'STEARIC ACID')] || FRAGRANCE [Gagal terdeteksi oleh OCR / terpotong] || MENTHOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'DIMETHICONE')] || ALLANTOIN [Gagal terdeteksi oleh OCR / terpotong] || HYDROXYPROPYL METHYLCELLULOSE [Gagal terdeteksi oleh OCR / terpotong] || ETHYLHEXYLGLYCERIN [OCR Typo / Salah Karakter (Terbaca sebagai: 'GLYCERIN')] || MENTHYL LACTATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'DIMETHICONE')] || PEG-40 HYDROGENATED CASTOR OIL [OCR Typo / Salah Karakter (Terbaca sebagai: 'PEG-4O CASTOR OIL')] || PPG-26-BUTETH-26 [Gagal terdeteksi oleh OCR / terpotong] || SALVIA OFFICINALIS (SAGE) LEAF EXTRACT [Gagal terdeteksi oleh OCR / terpotong] || CITRIC ACID [OCR Typo / Salah Karakter (Terbaca sebagai: 'STEARIC ACID')] || SODIUM CITRATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'SODIUM')] || SODIUM BENZOATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'SODIUM')] || TRIDECETH-9 [Gagal terdeteksi oleh OCR / terpotong] || LAURETH-21 [Gagal terdeteksi oleh OCR / terpotong] || 1 [Gagal terdeteksi oleh OCR / terpotong] || 2-HEXANEDIOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'PROPANEDIOL')] || AMINOMETHYL PROPANEDIOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'PROPANEDIOL')] || SODIUM DEHYDROACETATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'SODIUM CAPRYLHYDROXAMIC ACID')] || CI 77891 [Terpotong (Cut-off) di Bagian Bawah Kemasan] || CI 19140 [Terpotong (Cut-off) di Bagian Bawah Kemasan] || CI 77266 [Terpotong (Cut-off) di Bagian Bawah Kemasan] || CI 42090 [Terpotong (Cut-off) di Bagian Bawah Kemasan],
Skenario 2 (Multiple Products / Multi Brand),g2g_cleanser,G2G Cleanser,PADDLEOCR,16,16,0,1,,,BLUEBERRYREFERS TOVACCINIUM MYRTILLUS FRUIT EXTRACT
Skenario 2 (Multiple Products / Multi Brand),lipcare_madame_gie,Lipcare Madame Gie,PADDLEOCR,13,10,3,0,CITRULLUS LANATUS (WATERMELON) SEED OIL | AROMA | PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE,CITRULLUS LANATUS (WATERMELON) SEED OIL [Gagal terdeteksi oleh OCR / terpotong] || AROMA [Terpotong (Cut-off) di Bagian Bawah Kemasan] || PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'BUTYROSPERMUM PARKII (SHEA) BUTTER CITRULLUS LANATUS (WATERMELON SEED OIL AROMA PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE')],
Skenario 2 (Multiple Products / Multi Brand),masker_camille,Masker Camille,PADDLEOCR,24,22,2,0,POTASSIUM SORBATE | 1,POTASSIUM SORBATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'SODIUM BENZOATE')] || 1 [Terpotong (Cut-off) di Bagian Bawah Kemasan],
Skenario 2 (Multiple Products / Multi Brand),masker_komedo,Masker Hidung Komedo,PADDLEOCR,14,7,7,1,GLYCERIN | BUTYLENE GLYCOL | POLYVINYL ALCOHOL | CHARCOAL POWDER | GINKGO BILOBA LEAF EXTRACT | BAMBUSA VULGARIS (BAMBOO) EXTRACT | FRAGRANCE (PARFUM),GLYCERIN [Terpotong (Cut-off) di Bagian Atas Kemasan] || BUTYLENE GLYCOL [Terpotong (Cut-off) di Bagian Atas Kemasan] || POLYVINYL ALCOHOL [Gagal terdeteksi oleh OCR / terpotong] || CHARCOAL POWDER [Gagal terdeteksi oleh OCR / terpotong] || GINKGO BILOBA LEAF EXTRACT [OCR Typo / Salah Karakter (Terbaca sebagai: 'CAMELLIA SINENSIS (GREEN TEA) GINKGO BLOBA LEAF EXTRACT')] || BAMBUSA VULGARIS (BAMBOO) EXTRACT [OCR Typo / Salah Karakter (Terbaca sebagai: 'AQUA EXTRACT')] || FRAGRANCE (PARFUM) [OCR Typo / Salah Karakter (Terbaca sebagai: 'FRAGRANCE SODIUM HYALURONATE')],LEAT EXTRACT
Skenario 2 (Multiple Products / Multi Brand),sunscreen_emina,Sunscreen Emina,PADDLEOCR,46,41,5,0,CETEARYL OLIVATE | DIPROPYLENE GLYCOL | SODIUM HYDROXIDE | SODIUM SULFITE | ACETYL TYROSINE,CETEARYL OLIVATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'SORBITAN OLIVATE')] || DIPROPYLENE GLYCOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'PROPYLENE GLYCOL')] || SODIUM HYDROXIDE [OCR Typo / Salah Karakter (Terbaca sebagai: 'DISODIUM EDTA SODIUM HYDROXIDE')] || SODIUM SULFITE [OCR Typo / Salah Karakter (Terbaca sebagai: 'CITRIC ACID SODIUM SULFITE')] || ACETYL TYROSINE [OCR Typo / Salah Karakter (Terbaca sebagai: 'AMINOMETHYL PROPANOL')],
Skenario 2 (Multiple Products / Multi Brand),wardah_face_mist,Wardah Face Mist,PADDLEOCR,16,4,12,1,Niacinamide | Propanediol | Phenoxyethanol | Chlorphenesin | Disodium EDTA | Allantoin | Glycerin | PVP | Trideceth-9 | PEG-Hydrogenated Castor Oil | Fragrance | Polysorbate 20,Niacinamide [Terpotong (Cut-off) di Bagian Atas Kemasan] || Propanediol [OCR Typo / Salah Karakter (Terbaca sebagai: 'PROPYLNEGLYCOL PVP')] || Phenoxyethanol [Terpotong (Cut-off) di Bagian Atas Kemasan] || Chlorphenesin [Gagal terdeteksi oleh OCR / terpotong] || Disodium EDTA [OCR Typo / Salah Karakter (Terbaca sebagai: 'DISODIUM DTAALLANTNGLYERIN')] || Allantoin [OCR Typo / Salah Karakter (Terbaca sebagai: 'DISODIUM DTAALLANTNGLYERIN')] || Glycerin [Gagal terdeteksi oleh OCR / terpotong] || PVP [Gagal terdeteksi oleh OCR / terpotong] || Trideceth-9 [Gagal terdeteksi oleh OCR / terpotong] || PEG-Hydrogenated Castor Oil [Terpotong (Cut-off) di Bagian Bawah Kemasan] || Fragrance [Terpotong (Cut-off) di Bagian Bawah Kemasan] || Polysorbate 20 [Terpotong (Cut-off) di Bagian Bawah Kemasan],DISODIUM DTAALLANTNGLYERIN
