Skenario,Kode Sample,Nama Produk,Engine OCR,Total Bahan Asli (GT),Total Berhasil Dikenali,Total Miss / Terlewat,Total False Positives (Noise),Daftar Bahan MISS (False Negatives),Detail Penyebab MISS,Daftar Token Salah (False Positives)
Skenario 2 (Multiple Products / Multi Brand),cleanser_panthenol,Facial Wash Scora,TESSERACT,32,9,23,3,AQUA | COCAMIDOPROPYL BETAINE | GLYCERIN | ACRYLATES COPOLYMER | ALLANTOIN | CITRIC ACID | POTASSIUM COCOATE | PHENOXYETHANOL | DISODIUM EDTA | TRANEXAMIC ACID | ETHYLHEXYLGLYCERIN | ZEA MAYS STARCH | HYDROXYPROPYL METHYLCELLULOSE | MICA | TITANIUM DIOXIDE | PENTYLENE GLYCOL | BIFIDA FERMENT LYSATE | LACTOBACILLUS FERMENT LYSATE | LACTOCOCCUS FERMENT LYSATE | 1 | SODIUM ACETYLATED HYALURONATE | SODIUM HYALURONATE | HYDROLYZED SODIUM HYALURONATE,AQUA [Terpotong (Cut-off) di Bagian Atas Kemasan] || COCAMIDOPROPYL BETAINE [Terpotong (Cut-off) di Bagian Atas Kemasan] || GLYCERIN [Terpotong (Cut-off) di Bagian Atas Kemasan] || ACRYLATES COPOLYMER [OCR Typo / Salah Karakter (Terbaca sebagai: 'DIUMN HYALURONATE CROSSPOLYMER HYALURONATE')] || ALLANTOIN [OCR Typo / Salah Karakter (Terbaca sebagai: 'MANNITOL')] || CITRIC ACID [Gagal terdeteksi oleh OCR / terpotong] || POTASSIUM COCOATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'A POTASSIUM N COCOYL GLYCINATE')] || PHENOXYETHANOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'PANTHENOL')] || DISODIUM EDTA [OCR Typo / Salah Karakter (Terbaca sebagai: 'SODIUM BENZOATE 2 DISODIUM EDTA')] || TRANEXAMIC ACID [OCR Typo / Salah Karakter (Terbaca sebagai: 'TRANEX AAP THANOL')] || ETHYLHEXYLGLYCERIN [Gagal terdeteksi oleh OCR / terpotong] || ZEA MAYS STARCH [Gagal terdeteksi oleh OCR / terpotong] || HYDROXYPROPYL METHYLCELLULOSE [OCR Typo / Salah Karakter (Terbaca sebagai: '3 MICROCRYSTALLINE CELLULOSE')] || MICA [Gagal terdeteksi oleh OCR / terpotong] || TITANIUM DIOXIDE [Gagal terdeteksi oleh OCR / terpotong] || PENTYLENE GLYCOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'PANTHENOL')] || BIFIDA FERMENT LYSATE [Gagal terdeteksi oleh OCR / terpotong] || LACTOBACILLUS FERMENT LYSATE [Gagal terdeteksi oleh OCR / terpotong] || LACTOCOCCUS FERMENT LYSATE [Gagal terdeteksi oleh OCR / terpotong] || 1 [Terpotong (Cut-off) di Bagian Bawah Kemasan] || SODIUM ACETYLATED HYALURONATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'A POTASSIUM N COCOYL GLYCINATE')] || SODIUM HYALURONATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'DIUMN HYALURONATE CROSSPOLYMER HYALURONATE')] || HYDROLYZED SODIUM HYALURONATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'RUPEE ARY HIA SODIUM METHYL COCOY TAURATE')],TED WITH 4 RIO | TRANEX AAP THANOL | I A GUNUNG PUTRI AM G4 EA SA LEHER ATOY I SOMPAI BERSIN DENC KONTAK LANGSUNG DENG EE IE
Skenario 2 (Multiple Products / Multi Brand),exfoliasi_skintific,Exfoliasi Skintific,TESSERACT,31,29,2,10,1 | ROSMARINUS OFFICINALIS EXTRACT,1 [Gagal terdeteksi oleh OCR / terpotong] || ROSMARINUS OFFICINALIS EXTRACT [OCR Typo / Salah Karakter (Terbaca sebagai: 'ACACIA SENEGAL GUM EXTRACT')],BRIEFLY CLEANSE THE FACE AND DRY | PES 4 . 2 | DROP 3-4 DROPS ON HANDS | THEN I IM AE I APPLY TODRY FACE | STAY FORIUNTIL JI I SMINUTES | DEPENDS ONTHE SKIN JI I CONDITION AND NEEDS | AE 3 | WASH WITH WATER ANDUSE MOISTUR- JI I IZING PRODUCTS FOR FACIAL CARE. . 4 | USE2-3TIMESAWEEKDEPENDSON JX I NEEDS | FOR DAYTIME
Skenario 2 (Multiple Products / Multi Brand),facial_wash_g2g,Facial Wash G2G,TESSERACT,36,31,5,13,MENTHOL | 1 | FOMES OFFICINALIS EXTRACT | PHENOXYETHANOL | BHA,MENTHOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'METHYLPARA')] || 1 [Gagal terdeteksi oleh OCR / terpotong] || FOMES OFFICINALIS EXTRACT [OCR Typo / Salah Karakter (Terbaca sebagai: 'HORUS EXTRACT')] || PHENOXYETHANOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'SHAREREEANOL')] || BHA [Terpotong (Cut-off) di Bagian Bawah Kemasan],BEEP PORE CLEAN FACIAL WASH 4 | MASSAGE GENTLY IN CIRCULAR MOTIONS ON WET FACE. 7 | FE | COPOLYMER | SOIL | STARCH MODIFIED | CHLORIDE | THINE I | FON I 7 | HORUS EXTRACT | SHAREREEANOL | BINET STO SALICYLIC ACID | WDE W PEE SEE ON THE EDGE OF THISPACY
Skenario 2 (Multiple Products / Multi Brand),facial_wash_kahf,Facial Wash Kahf,TESSERACT,46,37,9,4,PPG-26-BUTETH-26 | SODIUM CITRATE | AMMONIUM ACRYLATES COPOLYMER | PEG-40 CASTOR OIL | SODIUM BENZOATE | 1 | CI 77891 | CI 19140 | CI 42090,PPG-26-BUTETH-26 [OCR Typo / Salah Karakter (Terbaca sebagai: 'LAURETH-2I')] || SODIUM CITRATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'SODIUM IOTE ACETATE')] || AMMONIUM ACRYLATES COPOLYMER [OCR Typo / Salah Karakter (Terbaca sebagai: 'AMMONIUM ACRYLATES HE PEG-4O CASTOR OIL')] || PEG-40 CASTOR OIL [OCR Typo / Salah Karakter (Terbaca sebagai: 'AMMONIUM ACRYLATES HE PEG-4O CASTOR OIL')] || SODIUM BENZOATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'SODIUM IOTE ACETATE')] || 1 [Gagal terdeteksi oleh OCR / terpotong] || CI 77891 [OCR Typo / Salah Karakter (Terbaca sebagai: 'I7789I')] || CI 19140 [OCR Typo / Salah Karakter (Terbaca sebagai: 'CII9I4O')] || CI 42090 [OCR Typo / Salah Karakter (Terbaca sebagai: 'CL 42O9O')],AMMONIUM ACRYLATES HE PEG-4O CASTOR OIL | I7789I | CII9I4O | CL 42O9O
Skenario 2 (Multiple Products / Multi Brand),g2g_cleanser,G2G Cleanser,TESSERACT,16,16,0,12,,,XN | GENTLY SMOOTH OVER YOUR ENTIRE FACE | PAUSING A | T 4 EXTRACT | FOG CASTOR OIL | 3 HYDROXIDE | GLYCOL | I BIGUANIDE | I BLUEBERRY REFERS TO VACCINIUM MYRTILLUS FRUIT | E SEE ON THE EDGE OF THIS PACKAGE | I KAPAS | UEHENE FUANIGH PN A GECUKUPN YS AN
Skenario 2 (Multiple Products / Multi Brand),lipcare_madame_gie,Lipcare Madame Gie,TESSERACT,13,7,6,16,MINERAL OIL | SILICA DIMETHYL SILYLATE | BUTYROSPERMUM PARKII (SHEA) BUTTER | CITRULLUS LANATUS (WATERMELON) SEED OIL | AROMA | PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE,MINERAL OIL [Terpotong (Cut-off) di Bagian Atas Kemasan] || SILICA DIMETHYL SILYLATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'RIDECYL TRIMELLITATE')] || BUTYROSPERMUM PARKII (SHEA) BUTTER [OCR Typo / Salah Karakter (Terbaca sebagai: 'AREA BUTTER')] || CITRULLUS LANATUS (WATERMELON) SEED OIL [OCR Typo / Salah Karakter (Terbaca sebagai: 'AF WATERMELON) SEED OIL')] || AROMA [OCR Typo / Salah Karakter (Terbaca sebagai: 'ARCINA')] || PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE [Terpotong (Cut-off) di Bagian Bawah Kemasan],AREA BUTTER | AND I | A BUTTER DAN PEPTIDE - 7 | A AL ENEISOPRENE COPOLYMER | HI | PALMITOYL I RIPEPTID E-I | AF WATERMELON) SEED OIL | ARCINA | CI I585O | CL 7749I | C. 7789I | IS A | MII COAND 3 | SISITIT IISS EXE | BF PR EEE ERE | T68 SETE WETAHE
Skenario 2 (Multiple Products / Multi Brand),masker_camille,Masker Camille,TESSERACT,24,22,2,8,1 | CAMELLIA SINENSIS LEAF EXTRACT,1 [Terpotong (Cut-off) di Bagian Bawah Kemasan] || CAMELLIA SINENSIS LEAF EXTRACT [OCR Typo / Salah Karakter (Terbaca sebagai: '8 BY CAMELLIA SINENSIS LEAF POWDER')],SSS I | CAMELLIA SINENSIS LEAF EXTVACT ES O WANURACTUNENEY ALY A | S PT | UNIGARE GEAUTY KOSMETINOO SA HEE | KAWASAN WICH DAN PAQYATENGAN BAMSINDE I AES . 2 RAYE | TORT TE WR GON NO MET A NO BPO T BD AA A SH OE AS | EE AE AT NE NORA (I) AN A AE PEN EE EE EEE ENE ER SE IO IE LE EE OE A A EEE EE COOR VN H F SEBELE HE S FILEEAEETS IE BEES HE N HES I NIH EGEEIANT FII EITII I BAD J MEES IE I VES EA A S | S8
Skenario 2 (Multiple Products / Multi Brand),masker_komedo,Masker Hidung Komedo,TESSERACT,14,6,8,4,POLYVINYL ALCOHOL | CHARCOAL POWDER | GINKGO BILOBA LEAF EXTRACT | BAMBUSA VULGARIS (BAMBOO) EXTRACT | CAMELLIA SINENSIS (GREEN TEA) LEAF EXTRACT | SODIUM HYALURONATE | PHENOXYETHANOL | CI 77499/ARON OXIDE,POLYVINYL ALCOHOL [Gagal terdeteksi oleh OCR / terpotong] || CHARCOAL POWDER [Gagal terdeteksi oleh OCR / terpotong] || GINKGO BILOBA LEAF EXTRACT [OCR Typo / Salah Karakter (Terbaca sebagai: 'POLWINY ALOOHO 7 GINKGO BIDBA LEAF EXTRACT BANNBUSA VULGARIS (BAMBOO) EXTRACT')] || BAMBUSA VULGARIS (BAMBOO) EXTRACT [OCR Typo / Salah Karakter (Terbaca sebagai: 'POLWINY ALOOHO 7 GINKGO BIDBA LEAF EXTRACT BANNBUSA VULGARIS (BAMBOO) EXTRACT')] || CAMELLIA SINENSIS (GREEN TEA) LEAF EXTRACT [OCR Typo / Salah Karakter (Terbaca sebagai: 'CARAHE ABATE S LEAT EGACT')] || SODIUM HYALURONATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'SODIUM BENZOATE')] || PHENOXYETHANOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'PHENOXYETH RM TEA) PARTURD')] || CI 77499/ARON OXIDE [OCR Typo / Salah Karakter (Terbaca sebagai: 'CI 77499ON OAT XYETNANOL')],POLWINY ALOOHO 7 GINKGO BIDBA LEAF EXTRACT BANNBUSA VULGARIS (BAMBOO) EXTRACT | CARAHE ABATE S LEAT EGACT | PHENOXYETH RM TEA) PARTURD | CI 77499ON OAT XYETNANOL
Skenario 2 (Multiple Products / Multi Brand),originote_eye_serum,Originote Eye Serum,TESSERACT,35,15,20,20,WATER | NIACINAMIDE | CETEARYL ALCOHOL | AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER | LACTOBACILLUS/RICE FERMENT | 1 | DIMETHICONE CROSSPOLYMER | LECITHIN | CAFFEINE | CETYL ALCOHOL | ESCIN | GLYCYRRHIZA URALENSIS (LICORICE) ROOT EXTRACT | TREHALOSE | PROPANEDIOL | CENTELLA ASIATICA ROOT EXTRACT | ETHYLHEXYLGLYCERIN | CAPRYLYL GLYCOL | XANTHAN GUM | PALMITOYL TRIPEPTIDE-1 | ARGININE/LYSINE POLYPEPTIDE,WATER [Terpotong (Cut-off) di Bagian Atas Kemasan] || NIACINAMIDE [Terpotong (Cut-off) di Bagian Atas Kemasan] || CETEARYL ALCOHOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'ICOHOL')] || AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER [Terpotong (Cut-off) di Bagian Atas Kemasan] || LACTOBACILLUS/RICE FERMENT [OCR Typo / Salah Karakter (Terbaca sebagai: 'WSRICE FERMENT')] || 1 [Gagal terdeteksi oleh OCR / terpotong] || DIMETHICONE CROSSPOLYMER [OCR Typo / Salah Karakter (Terbaca sebagai: 'DIMETHICOGAM A')] || LECITHIN [OCR Typo / Salah Karakter (Terbaca sebagai: 'LYCERIN')] || CAFFEINE [OCR Typo / Salah Karakter (Terbaca sebagai: 'LYCERIN')] || CETYL ALCOHOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'ICOHOL')] || ESCIN [OCR Typo / Salah Karakter (Terbaca sebagai: 'OSCIL')] || GLYCYRRHIZA URALENSIS (LICORICE) ROOT EXTRACT [Gagal terdeteksi oleh OCR / terpotong] || TREHALOSE [OCR Typo / Salah Karakter (Terbaca sebagai: 'TREHAIGGLLLT')] || PROPANEDIOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'NEDIOL')] || CENTELLA ASIATICA ROOT EXTRACT [Terpotong (Cut-off) di Bagian Bawah Kemasan] || ETHYLHEXYLGLYCERIN [OCR Typo / Salah Karakter (Terbaca sebagai: 'LYCERIN')] || CAPRYLYL GLYCOL [OCR Typo / Salah Karakter (Terbaca sebagai: 'CAPRYLYL GIVES')] || XANTHAN GUM [OCR Typo / Salah Karakter (Terbaca sebagai: 'PHENOXYETHANG A')] || PALMITOYL TRIPEPTIDE-1 [Terpotong (Cut-off) di Bagian Bawah Kemasan] || ARGININE/LYSINE POLYPEPTIDE [Terpotong (Cut-off) di Bagian Bawah Kemasan],I 4 | JOPENTASILORXVE | QUALAN | R UR HE E | OREV EOPOLY ER | LACTOMES I | WSRICE FERMENT | GISTECRATE | I.2-HEXANEDGIGAM 7 | COTES 4 | DIMETHICOGAM A | OF | LECHE 4 | COTLEINGM 4 | COE | ICOHOL | OSCIL | CT | TREHAIGGLLLT | CAPRYLYL GIVES
Skenario 2 (Multiple Products / Multi Brand),sunscreen_emina,Sunscreen Emina,TESSERACT,46,32,14,4,ETHYLHEXYL METHOXYCINNAMATE | NIACINAMIDE | CETEARYL OLIVATE | GLYCERETH-20 | CARBOMER | SODIUM HYDROXIDE | BHT | SODIUM SULFITE | ACETYL TYROSINE | SAXIFRAGA SARMENTOSA EXTRACT | PAEONIA SUFFRUTICOSA ROOT EXTRACT | AMINOPROPYL ASCORBYL PHOSPHATE | SCUTELLARIA BAICALENSIS ROOT EXTRACT | GLUTATHIONE,ETHYLHEXYL METHOXYCINNAMATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'KOMPOSISI AQUA ETHVIHEXYL METHOXYCINNAMATE NIACINAMIDE')] || NIACINAMIDE [Terpotong (Cut-off) di Bagian Atas Kemasan] || CETEARYL OLIVATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'SORBITAN J OLIVATE')] || GLYCERETH-20 [OCR Typo / Salah Karakter (Terbaca sebagai: '2 GLYCERIN')] || CARBOMER [OCR Typo / Salah Karakter (Terbaca sebagai: 'AMODIMETHICONE. 4 CARBOMER')] || SODIUM HYDROXIDE [OCR Typo / Salah Karakter (Terbaca sebagai: 'DISODIUM EDTA 4 SODIUM HYDROXIDE')] || BHT [Gagal terdeteksi oleh OCR / terpotong] || SODIUM SULFITE [OCR Typo / Salah Karakter (Terbaca sebagai: 'CITRIC ACID SODIUM SULFITE')] || ACETYL TYROSINE [OCR Typo / Salah Karakter (Terbaca sebagai: 'AMINOMETHYL PROPANOL')] || SAXIFRAGA SARMENTOSA EXTRACT [OCR Typo / Salah Karakter (Terbaca sebagai: 'GLYCYRRHIZA 4 GLABRA (LICORICE) ROOT EXTRACT')] || PAEONIA SUFFRUTICOSA ROOT EXTRACT [OCR Typo / Salah Karakter (Terbaca sebagai: 'GLYCYRRHIZA 4 GLABRA (LICORICE) ROOT EXTRACT')] || AMINOPROPYL ASCORBYL PHOSPHATE [OCR Typo / Salah Karakter (Terbaca sebagai: 'AMINOMETHYL PROPANOL')] || SCUTELLARIA BAICALENSIS ROOT EXTRACT [OCR Typo / Salah Karakter (Terbaca sebagai: 'GLYCYRRHIZA 4 GLABRA (LICORICE) ROOT EXTRACT')] || GLUTATHIONE [OCR Typo / Salah Karakter (Terbaca sebagai: 'DIMETHICONE')],PFS | AX ETY TYROSINE CO SAXITRAGO SARMENTOSA EXTRACT - PAEONIA SUFTRUTICOSA ROOT CMQCL ARIUS OPROPY ASCORBY -- PHOSPI LE OC UEDA WE -- BIC GLENEN ROOT TXTRACT | AT AD VE - 7 | NAT OO CLITEZS 4
